,Counts,Quant
HSM5MD5X_P,39754946,38.25877007
HSM5MD62,32390377,327.0143854
HSM5MD6Y,26529480,209.5285751
HSM5MD71,15716004,111.9020723
HSM5MD73,23513425,20.878780975
HSM5MD75,2416734,2.2228112075
HSM6XRS4,5699976,41.228275804999996
HSM6XRS6,9550701,53.88923324
HSM6XRS8,579827,70.35779363500001
HSM6XRSE,6643338,121.075982
HSM7CYZ5,27349773,150.4902399
HSM7CYZ7,26143005,0.28953462249999995
HSM7CYZ9,12649069,5.565402488
HSM7CYZB,8664561,20.057585815
HSM7CYZD,4575264,113.00235675
HSM7CYZF,6613376,119.333672
HSM7J4QB,9891223,119.3561059
HSM7J4QD,1686956,52.02920293
HSM7J4QF,36612173,67.570335545
HSM7J4QH,9504726,0.0000101
HSM7J4QJ,24280,81.246226205
HSM7J4QL,15975024,74.04391054999999
