,Counts,Quant,cal
HSM5MD5X_P,39754946,38.25877007,7.401973656
HSM5MD62,32390377,327.0143854,67.02152159
HSM5MD6Y,26529480,209.5285751,50.68428831
HSM5MD71,15716004,111.9020723,25.34713002
HSM5MD73,23513425,20.87878098,4.565250497
HSM5MD75,2416734,2.222811208,0.496048878
HSM6XRS4,5699976,41.2282758,7.956423508
HSM6XRS6,9550701,53.88923324,13.47313992
HSM6XRS8,579827,70.35779364,17.05045598
HSM6XRSE,6643338,121.075982,26.58135741
HSM7CYZ5,27349773,150.4902399,29.11040049
HSM7CYZ7,26143005,0.289534622,0.06800274
HSM7CYZ9,12649069,5.565402488,1.360085257
HSM7CYZB,8664561,20.05758582,4.24046727
HSM7CYZD,4575264,113.0023568,24.34603551
HSM7CYZF,6613376,119.333672,25.81956502
HSM7J4QB,9891223,119.3561059,26.17285429
HSM7J4QD,1686956,52.02920293,12.80304286
HSM7J4QF,36612173,67.57033555,13.55721192
HSM7J4QH,9504726,0.0000101,2.30E-06
HSM7J4QJ,24280,81.24622621,23.47153276
HSM7J4QL,15975024,74.04391055,15.70569734
