id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
8356	genus	Halorubrum	2	2	3		2.5	2.50	0.50	[3, 2]
8357	genus	Idiomarina	3	4	4	4	4	4.00	0.00	[4, 4, 4]
8358	genus	Micromonospora	2	3	3	3	3.0	3.00	0.00	[3, 3]
8359	genus	Pseudonocardia	7	3	4	4	4	3.57	0.49	[3, 4, 4, 3, 4, 4, 3]
8360	genus	Riemerella	10	2	3	3	3.0	2.90	0.30	[3, 3, 3, 3, 3, 3, 3, 2, 3, 3]
8361	genus	Acidaminococcus	2	3	6		4.5	4.50	1.50	[6, 3]
8362	genus	Chondromyces	1	3	3	3	3	3.00	0.00	[3]
8363	genus	Pasteurella	19	6	6	6	6	6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
8364	genus	Pseudopedobacter	1	4	4	4	4	4.00	0.00	[4]
8365	genus	Corynebacterium	168	3	7	4	4.0	4.42	0.85	[3, 6, 5, 6, 3, 3, 3, 4, 4, 4, 4, 3, 6, 5, 6, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 3, 4, 7, 6, 6, 6, 5, 4, 6, 4, 3, 4, 5, 4, 4, 4, 4, 4, 4, 4, 6, 6, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 5, 4, 4, 4, 3, 6, 4, 4, 4, 4, 6, 4, 5, 4, 4, 4, 6, 5, 3, 4, 4, 4, 4, 4, 6, 5, 4, 4, 4, 4, 4, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 5, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 4, 4, 6, 5, 6, 6, 6, 4, 6, 6, 4, 4, 3, 4]
8366	genus	Tolumonas	1	8	8	8	8	8.00	0.00	[8]
8367	genus	Frondihabitans	1	2	2	2	2	2.00	0.00	[2]
8368	genus	Anaerolinea	1	2	2	2	2	2.00	0.00	[2]
8369	genus	Methanomethylovorans	1	2	2	2	2	2.00	0.00	[2]
8370	genus	Sedimenticola	1	2	2	2	2	2.00	0.00	[2]
8371	genus	Natronococcus	1	4	4	4	4	4.00	0.00	[4]
8372	genus	Pontibacter	2	4	4	4	4.0	4.00	0.00	[4, 4]
8373	genus	Desulfurivibrio	1	2	2	2	2	2.00	0.00	[2]
8374	genus	Proteus	11	6	7	7	7	6.91	0.29	[7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7]
8375	genus	Niastella	1	3	3	3	3	3.00	0.00	[3]
8376	genus	Castellaniella	1	2	2	2	2	2.00	0.00	[2]
8377	genus	GpIV	4	1	3	1	1.5	1.75	0.83	[1, 3, 1, 2]
8378	genus	Methylomonas	3	3	3	3	3	3.00	0.00	[3, 3, 3]
8379	genus	Curtobacterium	3	3	4	3	3	3.33	0.47	[4, 3, 3]
8380	genus	Chelatococcus	2	2	2	2	2.0	2.00	0.00	[2, 2]
8381	genus	Antarctobacter	1	2	2	2	2	2.00	0.00	[2]
8382	genus	Persicobacter	1	3	3	3	3	3.00	0.00	[3]
8383	genus	Deinococcus	12	3	5	3	3.0	3.50	0.65	[3, 4, 4, 3, 4, 5, 4, 3, 3, 3, 3, 3]
8384	genus	Virgibacillus	5	6	8	7	7	7.00	0.63	[7, 8, 6, 7, 7]
8385	genus	Nitrospira	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
8386	genus	Massilia	3	7	8	7	7	7.33	0.47	[7, 8, 7]
8387	genus	Salinispira	1	2	2	2	2	2.00	0.00	[2]
8388	genus	GpX	7	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2]
8389	genus	Turneriella	1	2	2	2	2	2.00	0.00	[2]
8390	genus	Thermovibrio	1	3	3	3	3	3.00	0.00	[3]
8391	genus	Pyrolobus	1	1	1	1	1	1.00	0.00	[1]
8392	genus	Pararhodospirillum	1	1	1	1	1	1.00	0.00	[1]
8393	genus	Gynuella	1	4	4	4	4	4.00	0.00	[4]
8394	genus	Algibacter	1	2	2	2	2	2.00	0.00	[2]
8395	genus	Shinella	1	3	3	3	3	3.00	0.00	[3]
8396	genus	Nonlabens	3	2	3	3	3	2.67	0.47	[2, 3, 3]
8397	genus	Aminobacterium	1	3	3	3	3	3.00	0.00	[3]
8398	genus	Methanothrix	2	1	2		1.5	1.50	0.50	[2, 1]
8399	genus	Rhizobacter	1	3	3	3	3	3.00	0.00	[3]
8400	genus	Allochromatium	1	3	3	3	3	3.00	0.00	[3]
8401	genus	Carnobacterium	4	6	8	8	8.0	7.50	0.87	[8, 6, 8, 8]
8402	genus	Desulfurella	1	2	2	2	2	2.00	0.00	[2]
8403	genus	Aminobacter	1	3	3	3	3	3.00	0.00	[3]
8404	genus	Caldisphaera	1	1	1	1	1	1.00	0.00	[1]
8405	genus	Metallosphaera	7	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1]
8406	genus	Thermaerobacter	1	2	2	2	2	2.00	0.00	[2]
8407	genus	Myxococcus	6	3	4		3.5	3.50	0.50	[4, 3, 4, 3, 3, 4]
8408	genus	Caldanaerobacter	1	4	4	4	4	4.00	0.00	[4]
8409	genus	Halogeometricum	1	2	2	2	2	2.00	0.00	[2]
8410	genus	Cellulosilyticum	1	11	11	11	11	11.00	0.00	[11]
8411	genus	Simiduia	1	3	3	3	3	3.00	0.00	[3]
8412	genus	Taylorella	8	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3]
8413	genus	Polaribacter	4	2	6	3	3.0	3.50	1.50	[2, 3, 3, 6]
8414	genus	Syntrophothermus	1	2	2	2	2	2.00	0.00	[2]
8415	genus	Borreliella	16	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
8416	genus	GpXIII	1	3	3	3	3	3.00	0.00	[3]
8417	genus	Methylocella	1	2	2	2	2	2.00	0.00	[2]
8418	genus	Methanoculleus	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
8419	genus	Methylibium	1	1	1	1	1	1.00	0.00	[1]
8420	genus	Arcobacter	7	4	6	5	5	5.00	0.53	[5, 4, 5, 5, 5, 6, 5]
8421	genus	Cytophaga	1	3	3	3	3	3.00	0.00	[3]
8422	genus	Mesotoga	1	2	2	2	2	2.00	0.00	[2]
8423	genus	Brevundimonas	6	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2]
8424	genus	GpVII	2	3	3	3	3.0	3.00	0.00	[3, 3]
8425	genus	Tateyamaria	1	1	1	1	1	1.00	0.00	[1]
8426	genus	Candidatus Carsonella	9	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1]
8427	genus	Burkholderia	217	2	7	4	4	4.69	0.96	[6, 5, 4, 4, 4, 4, 6, 6, 6, 5, 4, 4, 4, 4, 5, 6, 6, 6, 6, 5, 7, 6, 6, 5, 3, 6, 6, 6, 6, 4, 6, 2, 4, 6, 4, 5, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 6, 4, 6, 4, 4, 6, 4, 4, 3, 3, 4, 4, 4, 4, 4, 5, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 6, 5, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 5, 5, 6, 4, 4, 5, 5, 6, 5, 6, 5, 4, 4, 4, 6, 4, 6, 5, 6, 6, 4, 4, 4, 4, 4, 6, 6, 6, 7, 4, 4, 4, 6, 6, 6, 5, 6, 6, 6, 6, 6, 4, 4, 4, 5, 6, 5, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 5, 4, 6, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 5]
8428	genus	Isosphaera	1	3	3	3	3	3.00	0.00	[3]
8429	genus	Echinicola	1	4	4	4	4	4.00	0.00	[4]
8430	genus	Ferroplasma	2	1	1	1	1.0	1.00	0.00	[1, 1]
8431	genus	Methanolobus	1	3	3	3	3	3.00	0.00	[3]
8432	genus	Sideroxydans	1	2	2	2	2	2.00	0.00	[2]
8433	genus	Intestinimonas	1	2	2	2	2	2.00	0.00	[2]
8434	genus	Methanothermobacter	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
8435	genus	Bibersteinia	1	6	6	6	6	6.00	0.00	[6]
8436	genus	Kibdelosporangium	1	3	3	3	3	3.00	0.00	[3]
8437	genus	Enhydrobacter	2	4	4	4	4.0	4.00	0.00	[4, 4]
8438	genus	Arthrobacter	20	4	8	6	6.0	5.75	0.89	[6, 5, 4, 5, 6, 6, 7, 6, 6, 6, 6, 6, 8, 6, 5, 4, 5, 6, 6, 6]
8439	genus	Nautilia	1	4	4	4	4	4.00	0.00	[4]
8440	genus	"Candidatus Korarchaeum"	1	1	1	1	1	1.00	0.00	[1]
8441	genus	Histophilus	9	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5]
8442	genus	Leuconostoc	19	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
8443	genus	Thiopseudomonas	3	3	5		4	4.00	0.82	[3, 4, 5]
8444	genus	Methanocaldococcus	6	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2]
8445	genus	Desulfohalobium	1	2	2	2	2	2.00	0.00	[2]
